,Season,Week_Number,Week_Name,Baker,Gender,Age,Signature_Handshake,Technical_Rank,Showstopper_Handshake,Favorite,Least_Favorite,Star_Baker,Eliminated,Winner,signature,showstopper
0,2,1,Cake,Ben,M,31,0,2,0,0.0,0,0,0,0,Rhubarb and Custard CupcakesAfter Dinner Cupcakes,Vanilla Sponge with White Chocolate and Raspberry Buttercream
1,2,1,Cake,Holly,F,31,0,1,0,0.0,0,1,0,0,Cherry Bakewell Inspired CupcakesGinger Cupcakes with Fig Truffle,Novelty Farm Cake
2,2,1,Cake,Ian,M,40,0,10,0,0.0,0,0,0,0,Apple and Cinnamon Cupcakes,Unknown
3,2,1,Cake,Janet,F,63,0,8,0,0.0,0,0,0,0,Raspberry and Cream Cupcakes,Chocolate Marble Cakewith Dark and White Chocolate Truffles
4,2,1,Cake,Jason,M,19,0,6,0,0.0,0,0,0,0,Lemon Meringue CupcakesApple and Cinnamon Cupcakes,Unknown
5,2,1,Cake,Joanne,F,41,0,11,0,1.0,0,0,0,1,Chocolate Orange CupcakesOrange and Cardamom Cupcakes,Chocolate and Strawberry Cake
6,2,1,Cake,Keith,M,31,0,12,0,0.0,0,0,1,0,Earl Grey Cupcakes,Chocolate and Sour Cream Cake
7,2,1,Cake,Mary-Anne,F,45,0,4,0,0.0,0,0,0,0,Banoffee Cupcakes,Chocolate and Raspberry Opera Cake
8,2,1,Cake,Robert,M,25,0,3,0,0.0,1,0,0,0,Blackberry and Vanilla Cupcakeswith Liquorice Frosting,Genoise Layered Mousse Cakewith Chocolate Ganache
9,2,1,Cake,Simon,M,31,0,9,0,0.0,1,0,0,0,Guinness and Chocolate Cupcakes,Two-Tiered Chocolate Courgette Cake
10,2,1,Cake,Urvashi,F,40,0,7,0,0.0,0,0,0,0,Cherry Blossom CupcakesJapanese Lime Cupcakes,Orange Blossom Celebration Cake
11,2,1,Cake,Yasmin,F,43,0,5,0,0.0,0,0,0,0,Cardamom and Pomegranate Cupcakes,Unknown
12,2,2,Tarts,Ben,M,31,0,1,0,0.0,0,0,0,0,"Chorizo, Pepper and Gruyere Quiche",Lemon Meringue Tarts
13,2,2,Tarts,Holly,F,31,0,4,0,0.0,0,0,0,0,Pesto Quiche,Milk Chocolate and Pistachio TartsTrifle Tarts
14,2,2,Tarts,Ian,M,40,0,2,0,1.0,0,0,0,0,"Stilton, Spinach and New Potato Quichewith Paprika and Walnut Pastry",Unknown
15,2,2,Tarts,Janet,F,63,0,8,0,0.0,0,0,0,0,Quiche Printanière,Red Fruit TartsChocolate and Cherry Tarts
16,2,2,Tarts,Jason,M,19,0,3,0,0.0,0,1,0,0,Salmon and Pak Choi Quiche,Mint Chocolate TartsBlueberry Bakewell Tarts
17,2,2,Tarts,Joanne,F,41,0,10,0,0.0,1,0,0,1,"Caramelised Onion, Gruyere and Thyme Quiche",Raspberry and Mascarpone Tarts with Lemon and Almond PastryHoney and Almond Tarts with Sweetcrust
19,2,2,Tarts,Mary-Anne,F,45,0,9,0,0.0,0,0,0,0,"Roasted Cauliflower, Cheese andCaramelised Onion Quiche",Butterscotch Brulée Tarts in Pecan PastryApple Rose Tarts
20,2,2,Tarts,Robert,M,25,0,5,0,0.0,1,0,0,0,Smoked Bacon and Kale Quiche,"Chocolate, Fennel and Ginger TartAlmond, Creme Patisserie and Poached Pear Tart"
21,2,2,Tarts,Simon,M,31,0,11,0,0.0,0,0,1,0,Smoked Haddock and Watercress Quiche,"Passion Fruit and Ricotta TartsSalted Chocolate, Stem Ginger and Mascarpone Cream Tarts"
