Season,Judge,Week Number,Week Name,Baker,Gender,Age,Signature Handshake,Technical Rank,Showstopper Handshake,Favorite,Least Favorite,Star Baker,Eliminated,Competed,Winner,,"Maintained by: Nick Ahamed, @nickahamed"
Series 1,Mary,1,Cake,Annetha,F,30,0,2,0,1,0,0,0,1,0,,
Series 1,Mary,1,Cake,David,M,31,0,3,0,0,1,0,0,1,0,,
Series 1,Mary,1,Cake,Edd,M,24,0,1,0,0,0,0,0,1,1,,
Series 1,Mary,1,Cake,Jasminder,F,45,0,,0,0,0,0,0,1,0,,
Series 1,Mary,1,Cake,Jonathan,M,25,0,9,0,0,0,0,0,1,0,,
Series 1,Mary,1,Cake,Lea,F,51,0,10,0,0,0,0,1,1,0,,
Series 1,Mary,1,Cake,Louise,F,44,0,,0,0,1,0,1,1,0,,
Series 1,Mary,1,Cake,Mark,M,48,0,,0,0,0,0,0,1,0,,
Series 1,Mary,1,Cake,Miranda,F,37,0,8,0,1,0,0,0,1,0,,
Series 1,Mary,1,Cake,Ruth,F,31,0,,0,1,0,0,0,1,0,,
Series 1,Mary,2,Biscuits,Annetha,F,30,0,7,0,0,0,0,1,1,0,,
Series 1,Mary,2,Biscuits,David,M,31,0,8,0,0,1,0,0,1,0,,
Series 1,Mary,2,Biscuits,Edd,M,24,0,6,0,1,0,0,0,1,1,,
Series 1,Mary,2,Biscuits,Jasminder,F,45,0,2,0,0,0,0,0,1,0,,
Series 1,Mary,2,Biscuits,Jonathan,M,25,0,1,0,1,0,0,0,1,0,,
Series 1,Mary,2,Biscuits,Lea,F,51,0,,0,0,0,0,0,0,0,,
Series 1,Mary,2,Biscuits,Louise,F,44,0,4,0,0,0,0,1,1,0,,
Series 1,Mary,2,Biscuits,Mark,M,48,0,,0,0,0,0,0,0,0,,
Series 1,Mary,2,Biscuits,Miranda,F,37,0,3,0,1,0,0,0,1,0,,
Series 1,Mary,2,Biscuits,Ruth,F,31,0,5,0,0,0,0,0,1,0,,
Series 1,Mary,3,Bread,Annetha,F,30,0,,0,0,0,0,0,0,0,,
Series 1,Mary,3,Bread,David,M,31,0,4,0,0,1,0,0,1,0,,
Series 1,Mary,3,Bread,Edd,M,24,0,1,0,1,0,0,0,1,1,,
Series 1,Mary,3,Bread,Jasminder,F,45,0,5,0,0,1,0,0,1,0,,
Series 1,Mary,3,Bread,Jonathan,M,25,0,6,0,0,0,0,1,1,0,,
Series 1,Mary,3,Bread,Lea,F,51,0,,0,0,0,0,0,0,0,,
Series 1,Mary,3,Bread,Louise,F,44,0,,0,0,0,0,0,0,0,,
Series 1,Mary,3,Bread,Mark,M,48,0,,0,0,0,0,0,0,0,,
Series 1,Mary,3,Bread,Miranda,F,37,0,3,0,0,0,0,0,1,0,,
Series 1,Mary,3,Bread,Ruth,F,31,0,2,0,1,0,0,0,1,0,,
Series 1,Mary,4,Pudding,Annetha,F,30,0,,0,0,0,0,0,0,0,,
Series 1,Mary,4,Pudding,David,M,31,0,5,0,0,0,0,1,1,0,,
Series 1,Mary,4,Pudding,Edd,M,24,0,3,0,0,1,0,0,1,1,,
Series 1,Mary,4,Pudding,Jasminder,F,45,0,2,0,1,0,0,0,1,0,,
Series 1,Mary,4,Pudding,Jonathan,M,25,0,,0,0,0,0,0,0,0,,
Series 1,Mary,4,Pudding,Lea,F,51,0,,0,0,0,0,0,0,0,,
Series 1,Mary,4,Pudding,Louise,F,44,0,,0,0,0,0,0,0,0,,
Series 1,Mary,4,Pudding,Mark,M,48,0,,0,0,0,0,0,0,0,,
Series 1,Mary,4,Pudding,Miranda,F,37,0,1,0,1,0,0,0,1,0,,
Series 1,Mary,4,Pudding,Ruth,F,31,0,4,0,0,0,0,0,1,0,,
Series 1,Mary,5,Pastry,Annetha,F,30,0,,0,0,0,0,0,0,0,,
Series 1,Mary,5,Pastry,David,M,31,0,,0,0,0,0,0,0,0,,
Series 1,Mary,5,Pastry,Edd,M,24,0,2,0,1,0,0,0,1,1,,
Series 1,Mary,5,Pastry,Jasminder,F,45,0,4,0,0,0,0,1,1,0,,
Series 1,Mary,5,Pastry,Jonathan,M,25,0,,0,0,0,0,0,0,0,,
Series 1,Mary,5,Pastry,Lea,F,51,0,,0,0,0,0,0,0,0,,
Series 1,Mary,5,Pastry,Louise,F,44,0,,0,0,0,0,0,0,0,,
Series 1,Mary,5,Pastry,Mark,M,48,0,,0,0,0,0,0,0,0,,
Series 1,Mary,5,Pastry,Miranda,F,37,0,1,0,0,1,0,0,1,0,,
Series 1,Mary,5,Pastry,Ruth,F,31,0,3,0,1,0,0,0,1,0,,
Series 1,Mary,6,Final,Annetha,F,30,0,,0,0,0,0,0,0,0,,
Series 1,Mary,6,Final,David,M,31,0,,0,0,0,0,0,0,0,,
Series 1,Mary,6,Final,Edd,M,24,0,,0,0,0,0,0,1,1,,
Series 1,Mary,6,Final,Jasminder,F,45,0,,0,0,0,0,0,0,0,,
Series 1,Mary,6,Final,Jonathan,M,25,0,,0,0,0,0,0,0,0,,
Series 1,Mary,6,Final,Lea,F,51,0,,0,0,0,0,0,0,0,,
Series 1,Mary,6,Final,Louise,F,44,0,,0,0,0,0,0,0,0,,
